"","sample","gene","chr","start","end","length","coverage","coverage.ratio","max.reads","mean.reads","low.reads.num.1000","low.reads.cover","high.reads.num.1000","high.reads.cover"
"1","APL1.bam","ARID1A","chr1",27022974,27023197,224,13,0.0580357142857143,17,0.790178571428571,13,1,0,0
"2","APL1.bam","ARID1A","chr1",27023203,27023486,284,270,0.950704225352113,84,20.2640845070423,270,1,0,0
"3","APL1.bam","ARID1A","chr1",27023506,27023775,270,205,0.759259259259259,48,13.1481481481481,205,1,0,0
"4","APL1.bam","ARID1A","chr1",27023791,27023953,163,162,0.993865030674847,4,1.98159509202454,162,1,0,0
"5","APL1.bam","ARID1A","chr1",27055947,27056359,413,412,0.997578692493947,7584,3550.88861985472,97,0.235436893203884,315,0.764563106796116
"6","APL1.bam","ARID1A","chr1",27057578,27058054,477,476,0.9979035639413,7300,3441.72536687631,47,0.0987394957983193,429,0.901260504201681
"7","APL1.bam","ARID1A","chr1",27059114,27059335,222,221,0.995495495495496,1515,1016.72972972973,135,0.610859728506787,86,0.389140271493213
"8","APL1.bam","ARID1A","chr1",27087239,27087604,366,365,0.997267759562842,3808,2413.61202185792,0,0,365,1
"9","APL1.bam","ARID1A","chr1",27087807,27088032,226,225,0.995575221238938,4894,3259.92920353982,0,0,225,1
"10","APL1.bam","ARID1A","chr1",27088612,27088835,224,223,0.995535714285714,2204,1475.27232142857,2,0.00896860986547085,221,0.991031390134529
"11","APL1.bam","ARID1A","chr1",27089427,27089710,284,283,0.996478873239437,6504,3797.64084507042,48,0.169611307420495,235,0.830388692579505
"12","APL1.bam","ARID1A","chr1",27092675,27093109,435,434,0.997701149425287,2630,1859.06206896552,0,0,434,1
"13","APL1.bam","ARID1A","chr1",27094231,27094537,307,306,0.996742671009772,3824,2200.02280130293,0,0,306,1
"14","APL1.bam","ARID1A","chr1",27097522,27097876,355,354,0.997183098591549,1808,825.160563380282,236,0.666666666666667,118,0.333333333333333
"15","APL1.bam","ARID1A","chr1",27098943,27099168,226,225,0.995575221238938,3384,2303.76548672566,0,0,225,1
"16","APL1.bam","ARID1A","chr1",27099282,27099499,218,217,0.995412844036697,3529,2407.80275229358,0,0,217,1
"17","APL1.bam","ARID1A","chr1",27099801,27100026,226,225,0.995575221238938,1584,1015.06637168142,133,0.591111111111111,92,0.408888888888889
"18","APL1.bam","ARID1A","chr1",27100041,27100262,222,221,0.995495495495496,1626,1094.03603603604,122,0.552036199095023,99,0.447963800904977
"19","APL1.bam","ARID1A","chr1",27100281,27100449,169,168,0.994082840236686,1025,606.757396449704,164,0.976190476190476,4,0.0238095238095238
"20","APL1.bam","ARID1A","chr1",27100770,27101071,302,301,0.996688741721854,3426,1886.83774834437,74,0.245847176079734,227,0.754152823920266
"21","APL1.bam","ARID1A","chr1",27101159,27101716,558,557,0.99820788530466,6011,2055.88709677419,261,0.468581687612208,296,0.531418312387792
"22","APL1.bam","ARID1A","chr1",27101997,27102218,222,221,0.995495495495496,6730,4573.02702702703,0,0,221,1
"23","APL1.bam","ARID1A","chr1",27105385,27106469,1085,1084,0.999078341013825,4427,2302.72626728111,113,0.104243542435424,971,0.895756457564576
"24","APL1.bam","ARID1A","chr1",27106619,27107285,667,666,0.998500749625187,6026,2909.89055472264,0,0,666,1
"25","APL1.bam","NRAS","chr1",115251041,115251261,221,220,0.995475113122172,7784,5352.31221719457,64,0.290909090909091,156,0.709090909090909
"26","APL1.bam","NRAS","chr1",115252147,115252260,114,113,0.991228070175439,4191,4030.76315789474,0,0,113,1
"27","APL1.bam","NRAS","chr1",115256357,115256578,222,221,0.995495495495496,3197,2159.87837837838,0,0,221,1
"28","APL1.bam","NRAS","chr1",115258642,115258862,221,220,0.995475113122172,3839,2580.17647058824,0,0,220,1
"29","APL1.bam","DNMT3A","chr2",25457048,25457438,391,390,0.997442455242967,4927,2234.85933503836,148,0.379487179487179,242,0.620512820512821
"30","APL1.bam","DNMT3A","chr2",25458501,25458729,229,228,0.995633187772926,3634,2484.6288209607,0,0,228,1
"31","APL1.bam","DNMT3A","chr2",25459690,25459905,216,215,0.99537037037037,2319,1639.55555555556,0,0,215,1
"32","APL1.bam","DNMT3A","chr2",25461879,25462103,225,224,0.995555555555556,810,545.577777777778,224,1,0,0
"33","APL1.bam","DNMT3A","chr2",25463103,25463329,227,226,0.995594713656388,863,585.581497797357,226,1,0,0
"34","APL1.bam","DNMT3A","chr2",25463445,25463664,220,219,0.995454545454545,607,419.677272727273,219,1,0,0
"35","APL1.bam","DNMT3A","chr2",25464436,25464600,165,89,0.539393939393939,1,0.539393939393939,89,1,0,0
"36","APL1.bam","DNMT3A","chr2",25466627,25467265,639,638,0.998435054773083,3859,2386.84507042254,0,0,638,1
"37","APL1.bam","DNMT3A","chr2",25467282,25467707,426,425,0.997652582159624,2286,1003.00234741784,175,0.411764705882353,250,0.588235294117647
"38","APL1.bam","DNMT3A","chr2",25467990,25468373,384,383,0.997395833333333,3644,1745.31510416667,134,0.349869451697128,249,0.650130548302872
"39","APL1.bam","DNMT3A","chr2",25468817,25469139,323,322,0.996904024767802,7409,3929.94117647059,0,0,322,1
"40","APL1.bam","DNMT3A","chr2",25469495,25469715,221,220,0.995475113122172,4890,3402.35294117647,0,0,220,1
"41","APL1.bam","DNMT3A","chr2",25469879,25470060,182,181,0.994505494505495,1639,1373.91758241758,41,0.226519337016575,140,0.773480662983425
"42","APL1.bam","DNMT3A","chr2",25470473,25470628,156,155,0.993589743589744,1933,1767.98076923077,0,0,155,1
"43","APL1.bam","DNMT3A","chr2",25470951,25471162,212,211,0.995283018867924,660,476.382075471698,211,1,0,0
"44","APL1.bam","DNMT3A","chr2",25498331,25498530,200,199,0.995,1194,897.535,87,0.437185929648241,112,0.562814070351759
"45","APL1.bam","DNMT3A","chr2",25505375,25505572,198,197,0.994949494949495,381,281.222222222222,197,1,0,0
"46","APL1.bam","DNMT3A","chr2",25523005,25523233,229,228,0.995633187772926,1050,695.353711790393,199,0.87280701754386,29,0.12719298245614
"47","APL1.bam","IDH1","chr2",209103754,209103941,188,187,0.99468085106383,6230,5015.06914893617,0,0,187,1
"48","APL1.bam","IDH1","chr2",209104493,209104714,222,221,0.995495495495496,3719,2499.28828828829,0,0,221,1
"49","APL1.bam","IDH1","chr2",209108118,209108323,206,205,0.995145631067961,2371,1698.63106796116,0,0,205,1
"50","APL1.bam","IDH1","chr2",209113085,209113302,218,217,0.995412844036697,4814,3266.10091743119,0,0,217,1
"51","APL1.bam","IDH1","chr2",209116167,209116356,190,189,0.994736842105263,2032,1508.32105263158,2,0.0105820105820106,187,0.989417989417989
"52","APL1.bam","KIT","chr4",55561587,55561806,220,219,0.995454545454545,3738,2545.76363636364,0,0,219,1
"53","APL1.bam","KIT","chr4",55564597,55564808,212,211,0.995283018867924,5716,4087.9858490566,0,0,211,1
"54","APL1.bam","KIT","chr4",55575560,55575773,214,213,0.995327102803738,2770,1909.80841121495,0,0,213,1
"55","APL1.bam","KIT","chr4",55589676,55589879,204,203,0.995098039215686,6704,5051.12745098039,0,0,203,1
"56","APL1.bam","KIT","chr4",55592021,55592244,224,223,0.995535714285714,7252,4888.36160714286,0,0,223,1
"57","APL1.bam","KIT","chr4",55593338,55593762,425,424,0.997647058823529,3611,2406.10352941176,0,0,424,1
"58","APL1.bam","KIT","chr4",55594136,55594358,223,222,0.995515695067265,3496,2361.17937219731,0,0,222,1
"59","APL1.bam","KIT","chr4",55595495,55595709,215,214,0.995348837209302,4057,2791.02325581395,0,0,214,1
"60","APL1.bam","KIT","chr4",55597951,55598166,216,215,0.99537037037037,2851,1939.55092592593,0,0,215,1
"61","APL1.bam","KIT","chr4",55599232,55599442,211,210,0.995260663507109,3764,2582.07582938389,0,0,210,1
"62","APL1.bam","KIT","chr4",55602582,55602802,221,220,0.995475113122172,1529,1025.84162895928,134,0.609090909090909,86,0.390909090909091
"63","APL1.bam","KIT","chr4",55603286,55603513,228,227,0.995614035087719,1527,1022.35526315789,138,0.607929515418502,89,0.392070484581498
"64","APL1.bam","TET2","chr4",106155113,106155221,109,108,0.990825688073395,6104,5827.71559633027,0,0,108,1
"65","APL1.bam","TET2","chr4",106155288,106156475,1188,1187,0.999158249158249,3496,1681.37962962963,298,0.251053074978938,889,0.748946925021062
"66","APL1.bam","TET2","chr4",106156511,106157353,843,840,0.99644128113879,6961,3315.58600237248,78,0.0928571428571429,762,0.907142857142857
"67","APL1.bam","TET2","chr4",106157429,106158358,930,929,0.998924731182796,4863,2197.1376344086,225,0.242195909580194,704,0.757804090419806
"68","APL1.bam","TET2","chr4",106158371,106158590,220,219,0.995454545454545,2205,803.545454545455,147,0.671232876712329,72,0.328767123287671
"69","APL1.bam","TET2","chr4",106162444,106162655,212,211,0.995283018867924,3900,2712.47169811321,0,0,211,1
"70","APL1.bam","TET2","chr4",106163914,106164128,215,214,0.995348837209302,4043,2737.7023255814,0,0,214,1
"71","APL1.bam","TET2","chr4",106164626,106165008,383,382,0.997389033942559,4943,2518.68407310705,13,0.0340314136125654,369,0.965968586387435
"72","APL1.bam","TET2","chr4",106180662,106181027,366,365,0.997267759562842,3839,1916.81147540984,159,0.435616438356164,206,0.564383561643836
"73","APL1.bam","TET2","chr4",106182821,106183022,202,201,0.995049504950495,4179,3069.9603960396,0,0,201,1
"74","APL1.bam","TET2","chr4",106190718,106190932,215,214,0.995348837209302,7345,5111.23255813954,0,0,214,1
"75","APL1.bam","TET2","chr4",106193689,106194088,400,399,0.9975,7573,3974.1725,0,0,399,1
"76","APL1.bam","TET2","chr4",106196199,106196833,635,634,0.998425196850394,3420,1220.83622047244,389,0.613564668769716,245,0.386435331230284
"77","APL1.bam","TET2","chr4",106196852,106197684,833,832,0.998799519807923,7481,4067.79111644658,0,0,832,1
"78","APL1.bam","NPM1","chr5",170819592,170819807,216,215,0.99537037037037,1639,1028.84722222222,109,0.506976744186047,106,0.493023255813954
"79","APL1.bam","NPM1","chr5",170819826,170820033,208,207,0.995192307692308,1625,1175.61057692308,104,0.502415458937198,103,0.497584541062802
"80","APL1.bam","NPM1","chr5",170834625,170834830,206,205,0.995145631067961,441,310.849514563107,205,1,0,0
"81","APL1.bam","HK3","chr5",176308385,176308589,205,204,0.995121951219512,2716,2038.43902439024,0,0,204,1
"82","APL1.bam","HK3","chr5",176308595,176308821,227,226,0.995594713656388,1363,128.132158590308,214,0.946902654867257,12,0.0530973451327434
"83","APL1.bam","HK3","chr5",176314188,176314366,179,178,0.994413407821229,5664,4845.41340782123,0,0,178,1
"84","APL1.bam","ARID1B","chr6",157099066,157099375,310,288,0.929032258064516,6203,3106.26451612903,76,0.263888888888889,212,0.736111111111111
"85","APL1.bam","ARID1B","chr6",157099542,157099942,401,202,0.503740648379052,63,23.7655860349127,202,1,0,0
"86","APL1.bam","ARID1B","chr6",157100329,157100597,269,5,0.0185873605947955,1,0.0185873605947955,5,1,0,0
"87","APL1.bam","ARID1B","chr6",157100609,157100728,120,0,0,0,0,0,0,0,0
"88","APL1.bam","ARID1B","chr6",157150228,157150585,358,357,0.997206703910615,7441,3761.41899441341,54,0.151260504201681,303,0.848739495798319
"89","APL1.bam","ARID1B","chr6",157192675,157192894,220,219,0.995454545454545,7351,5023.50454545455,0,0,219,1
"90","APL1.bam","ARID1B","chr6",157222491,157222688,198,197,0.994949494949495,3557,2717.0404040404,0,0,197,1
"91","APL1.bam","ARID1B","chr6",157256529,157256759,231,230,0.995670995670996,7602,5132.78787878788,53,0.230434782608696,177,0.769565217391304
"92","APL1.bam","ARID1B","chr6",157405618,157406080,463,462,0.997840172786177,5943,3951.69330453564,46,0.0995670995670996,416,0.9004329004329
"93","APL1.bam","ARID1B","chr6",157431541,157431759,219,218,0.995433789954338,4462,3011.37899543379,0,0,218,1
"94","APL1.bam","ARID1B","chr6",157454133,157454360,228,227,0.995614035087719,2763,1865.95175438596,0,0,227,1
"95","APL1.bam","ARID1B","chr6",157469714,157470151,438,437,0.997716894977169,299,150.65296803653,437,1,0,0
"96","APL1.bam","ARID1B","chr6",157488146,157488369,224,223,0.995535714285714,6164,4222.17410714286,0,0,223,1
"97","APL1.bam","ARID1B","chr6",157495088,157495314,227,226,0.995594713656388,4270,2885.09691629956,0,0,226,1
"98","APL1.bam","ARID1B","chr6",157501964,157502333,370,369,0.997297297297297,5209,2277.56486486486,120,0.32520325203252,249,0.67479674796748
"99","APL1.bam","ARID1B","chr6",157505240,157505656,417,416,0.997601918465228,7611,4005.96163069544,0,0,416,1
"100","APL1.bam","ARID1B","chr6",157510733,157510947,215,214,0.995348837209302,4140,2894.04651162791,0,0,214,1
"101","APL1.bam","ARID1B","chr6",157511162,157511384,223,222,0.995515695067265,7574,5109.43049327354,0,0,222,1
"102","APL1.bam","ARID1B","chr6",157517257,157517485,229,228,0.995633187772926,4629,3138.06986899563,0,0,228,1
"103","APL1.bam","ARID1B","chr6",157519876,157520092,217,216,0.995391705069124,6748,4647.96313364055,0,0,216,1
"104","APL1.bam","ARID1B","chr6",157521728,157522629,902,901,0.998891352549889,6002,2959.13747228381,165,0.183129855715871,736,0.816870144284129
"105","APL1.bam","ARID1B","chr6",157524956,157525165,210,209,0.995238095238095,4346,3111.84285714286,0,0,209,1
"106","APL1.bam","ARID1B","chr6",157527256,157529039,1784,1783,0.999439461883408,7785,3098.37387892377,462,0.259113853056646,1321,0.740886146943354
"107","APL1.bam","EZH2","chr7",148504664,148504876,213,212,0.995305164319249,1841,1231.3896713615,117,0.55188679245283,95,0.44811320754717
"108","APL1.bam","EZH2","chr7",148506097,148506296,200,199,0.995,4832,3533.575,0,0,199,1
"109","APL1.bam","EZH2","chr7",148506333,148506545,213,212,0.995305164319249,6865,4695.94366197183,0,0,212,1
"110","APL1.bam","EZH2","chr7",148507353,148507577,225,224,0.995555555555556,1686,1131.56,136,0.607142857142857,88,0.392857142857143
"111","APL1.bam","EZH2","chr7",148508619,148508844,226,225,0.995575221238938,4833,3291.14601769911,0,0,225,1
"112","APL1.bam","EZH2","chr7",148511084,148511303,220,219,0.995454545454545,1806,1263.75,120,0.547945205479452,99,0.452054794520548
"113","APL1.bam","EZH2","chr7",148511914,148512129,216,215,0.99537037037037,5314,3676.59722222222,0,0,215,1
"114","APL1.bam","EZH2","chr7",148512526,148512711,186,185,0.994623655913978,1676,1338.15591397849,64,0.345945945945946,121,0.654054054054054
"115","APL1.bam","EZH2","chr7",148513711,148513899,189,188,0.994708994708995,4367,3459.84126984127,0,0,188,1
"116","APL1.bam","EZH2","chr7",148515053,148515231,179,178,0.994413407821229,7074,5906.48603351955,0,0,178,1
"117","APL1.bam","EZH2","chr7",148516611,148516834,224,223,0.995535714285714,7427,5039.57589285714,0,0,223,1
"118","APL1.bam","EZH2","chr7",148523500,148523837,338,337,0.997041420118343,945,458.724852071006,337,1,0,0
"119","APL1.bam","EZH2","chr7",148524108,148524323,216,215,0.99537037037037,3982,2766.87962962963,0,0,215,1
"120","APL1.bam","EZH2","chr7",148525781,148525986,206,205,0.995145631067961,4716,3409.21844660194,0,0,205,1
"121","APL1.bam","EZH2","chr7",148526814,148527014,201,200,0.995024875621891,1339,970.169154228856,95,0.475,105,0.525
"122","APL1.bam","EZH2","chr7",148529662,148529880,219,218,0.995433789954338,1168,791.958904109589,127,0.582568807339449,91,0.41743119266055
"123","APL1.bam","EZH2","chr7",148543483,148543706,224,223,0.995535714285714,2847,1894.22321428571,11,0.0493273542600897,212,0.95067264573991
"124","APL1.bam","EZH2","chr7",148544298,148544459,162,161,0.993827160493827,3663,3377.03086419753,0,0,161,1
"125","APL1.bam","KMT2C","chr7",151833812,151834036,225,224,0.995555555555556,4149,2807.06222222222,0,0,224,1
